date,Garagoa,Dir_btw_Ca_Or,Pauto,Dir_btw_Cu_Ca,Guanapalo,Lengupa,Upia,Tua,Cravo Sur,Dir_btw_Cu_CS,Cusiana,Yucao,Guatiquia,Humea,Guacavia,Guavio,Metica,Guayuriba,Dir_btw_Gb_Yu,Dir_btw_Hu_Up,Melua,Cumaral,Manacacias,Dir_btw_P_Ca,Negro,Lago de Tota,Casanare
Jan-80,18.93,,,,,,150.5,,57.55,,,21.14,43.04,39.46,8.961,20,45.97,,,,,,,,,,
Feb-80,9.46,,,,,,121.2,,25.49,,,11.36,23.18,22.07,5.538,11.7,,,,,,,,,,,
Mar-80,9.96,,,,,,143.8,,17.65,,,9.668,35.86,36.18,15.52,19.4,,,,,,,,,,,
Apr-80,33.4,,,,,,324.1,,95.62,,,45.99,101.6,106,65.28,70,119.8,,,,,,,,,,
May-80,57.62,,,,,,512.3,,301.6,,,72.4,118.1,139,71.32,71,116.6,,,,,,,,,,
Jun-80,161.91,,,,,,884.7,,617.2,,,183.8,296.5,373.6,91.49,167.8,247.7,224.2,,,,,,,,,
Jul-80,131.38,,,,,,654.7,,522.4,,,146.6,167,199.4,113.5,108.3,208,161.8,,,,,,,,,
Aug-80,85.69,,,,,,498.4,,454.3,,,145.3,107.6,130.6,100.6,79.9,163.7,117.7,,,,,,,,,
Sep-80,87.89,,,,,,543.5,,354.2,,,141.6,140.6,183.2,111.5,77.6,186.6,125.5,,,,,,,,,
Oct-80,87.91,,,,,,552.7,,330.7,,,139,157.3,220.9,110.3,75.8,167.8,149,,,,,,,,,
Nov-80,39.97,,,,,,305.6,,154.6,,,77.14,87.04,107.4,90.79,32.1,147.2,84.82,,,,,,,,,
Dec-80,13.44,,,,,,133.7,,56.65,,,23.81,59.61,35.93,36.53,20.9,90.37,56.47,,,,,,,,,
Jan-81,10.09,,,,,,110.2,,28.97,,,12.14,25.42,14.61,10.3,10.5,,39.24,,,,,,,,,
Feb-81,12.58,,,,,,141.6,,42.43,,,25.24,29,46.98,26.93,16.4,,40.31,,,,,,,,,
Mar-81,14.74,,,,,,209.6,,103.4,,,43.25,39.92,87.03,35.55,22.5,,43.9,,,,,,,,,
Apr-81,44.68,,,,,,334.6,,198.6,,,75.11,69.79,183.9,90.47,59.8,172.7,70.49,,,,,,,,,
May-81,113.59,,,,,,803.5,,476.6,,,157.3,120.2,364.2,138.2,107.6,319.3,110.8,,,,,,,,,
Jun-81,121.92,,,,,,864.1,,561.2,,,164.7,169.4,349.1,125.9,121.3,314.5,114.3,,,,,,,,,
Jul-81,109.46,,,,,,869.2,,550.9,,,151.5,163.1,381.9,89.99,106.7,219.8,115,,,,,,,,,
Aug-81,83.16,,,,,,687.7,,387.8,,,93.39,113.6,226.6,181.4,77.9,116.4,107,,,,,,,,,
Sep-81,69.65,,,,,,783.3,,453.8,,,110.8,110.8,168.8,126.9,86,125.2,112.7,,,,,,,,,
Oct-81,73.38,,,,,,826.5,,279.3,,,102.7,115.8,174.4,188.7,78.9,163.1,123.8,,,,,,,,,
Nov-81,52.91,,,,,,617,,137.2,,,81.13,93,145.8,141.6,57.7,,88.25,,,,,,,,,
Dec-81,26.35,,,,,,316.8,,57.65,,,34.52,59.36,65.71,45.61,28.8,,59.75,,,,,,,,,
Jan-82,14.56,,,,,,177.8,,27.3,,,28.95,25.36,18.73,8.161,15.7,,37.68,,,,,,,,,
Feb-82,11.5,,,,,,144.6,,19.15,,,13.5,26.38,27.04,8.104,19.1,,26.74,,,,,,,,,
Mar-82,17.73,,,,,,161.3,,19.54,,,9.588,30.14,50.45,13.82,27.9,,35.49,,,,,,,,,
Apr-82,65.73,,,,,,497.2,,218.5,,,138.4,138.7,251.4,82.63,114,200.1,,,,,,,,,,
May-82,77.87,,,,,,637.2,,545.1,,,169.5,152.6,302.8,72.06,106.2,248.5,105.9,,,,,,,,,
Jun-82,91.5,,,,,,652.3,,535.4,,,198.7,150.4,167,57.68,88.4,167.9,,,,,,,,,,
Jul-82,137.09,,,,,,971.2,,481.3,,,194.9,229.3,215.9,69.48,159.2,232.3,187.1,,,,,,,,,
Aug-82,123.51,,,,,,962,,449.2,,,167,170.4,194.4,55.98,116.9,192.1,124.6,,,,,,,,,
Sep-82,86.25,,,,,,796.5,,342.6,,,157.7,159.8,157.8,62.11,95.9,161.4,97.97,,,,,,,,,
Oct-82,65.41,,,,,,707.3,,310.9,,,165.3,139.5,170.7,51.6,77.8,243.9,89.82,,,,,,,,,
Nov-82,35.61,,,,,,464.4,,159.1,,,96.22,134.3,93.8,29.87,45.9,,61.53,,,,,,,,,
Dec-82,18.69,,,,,,233.7,,81.84,,,44.97,98.14,47.02,24.48,30.4,72.52,47.24,,,,,,,,,
Jan-83,14.09,,,,,,234.3,,37.86,,,19.5,43.83,26.82,16.04,32.1,59.98,48.88,,,,,,,,,
Feb-83,15.13,,,,,,241.6,,25.49,,,13.61,44.3,50.54,27.44,45.4,84.48,56.4,,,,,,,,,
Mar-83,23.9,,,,,,324.5,,67.93,,,18.42,57.07,70.07,34.11,71.6,69.62,,,,,,,,,,
Apr-83,62.52,,,,,,448.2,,158.7,,,46.37,87.48,199.8,96.84,103.6,161.8,109.4,,,,,,,,,
May-83,64.7,,,,,,544.2,,260.7,,,81.8,130.5,236.6,83.95,102.9,229.4,123.5,,,,,,,,,
Jun-83,70.99,,,,,,847.8,,264.6,,,156.2,142.9,190.9,69.95,115.8,226.1,114.9,,,,,,,,,
Jul-83,97.01,,,,,,1197,,312,,,169.3,182.2,164.5,68.79,160.8,206.2,176.2,,,,,,,,,
Aug-83,126.38,,,,,,1073,,595.2,,,165.1,190.2,164.6,67.49,115.6,,185.4,,,,,,,,,
Sep-83,56.98,,,,,,839.2,,329.5,,,159.4,117.1,99.26,74.8,102,,116.3,,,,,,,,,
Oct-83,53.83,,,,,,560.1,,264.1,,,116.9,98.33,161.8,85.29,75.3,199.9,86.55,,,,,,,,,
Nov-83,25.2,,,,,,332.3,,212.2,,,78.28,55.05,107.9,51.9,35.9,132,57.58,,,,,,,,,
