Date,Turbinado,Vertimiento,Volumen m3
1/1/1977,,,558260000
1/2/1977,,,558260000
1/3/1977,,,558260000
1/4/1977,,,558260000
1/5/1977,,,558260000
1/6/1977,,,558260000
1/7/1977,,,558260000
1/8/1977,,,558260000
1/9/1977,,,558260000
1/10/1977,,,558260000
1/11/1977,,,558260000
1/12/1977,,,558260000
1/13/1977,,,558260000
1/14/1977,,,558260000
1/15/1977,,,558260000
1/16/1977,,,558260000
1/17/1977,,,558260000
1/18/1977,,,558260000
1/19/1977,,,558260000
1/20/1977,,,558260000
1/21/1977,,,558260000
1/22/1977,,,558260000
1/23/1977,,,558260000
1/24/1977,,,558260000
1/25/1977,,,558260000
1/26/1977,,,558260000
1/27/1977,,,558260000
1/28/1977,,,558260000
1/29/1977,,,558260000
1/30/1977,,,558260000
1/31/1977,,,558260000
2/1/1977,,3921428.571,462270000
2/2/1977,,3921428.571,462270000
2/3/1977,,3921428.571,462270000
2/4/1977,,3921428.571,462270000
2/5/1977,,3921428.571,462270000
2/6/1977,,3921428.571,462270000
2/7/1977,,3921428.571,462270000
2/8/1977,,3921428.571,462270000
2/9/1977,,3921428.571,462270000
2/10/1977,,3921428.571,462270000
2/11/1977,,3921428.571,462270000
2/12/1977,,3921428.571,462270000
2/13/1977,,3921428.571,462270000
2/14/1977,,3921428.571,462270000
2/15/1977,,3921428.571,462270000
2/16/1977,,3921428.571,462270000
2/17/1977,,3921428.571,462270000
2/18/1977,,3921428.571,462270000
2/19/1977,,3921428.571,462270000
2/20/1977,,3921428.571,462270000
2/21/1977,,3921428.571,462270000
2/22/1977,,3921428.571,462270000
2/23/1977,,3921428.571,462270000
2/24/1977,,3921428.571,462270000
2/25/1977,,3921428.571,462270000
2/26/1977,,3921428.571,462270000
2/27/1977,,3921428.571,462270000
2/28/1977,,3921428.571,462270000
3/1/1977,,,480190000
3/2/1977,,,480190000
3/3/1977,,,480190000
3/4/1977,,,480190000
3/5/1977,,,480190000
3/6/1977,,,480190000
3/7/1977,,,480190000
3/8/1977,,,480190000
3/9/1977,,,480190000
3/10/1977,,,480190000
3/11/1977,,,480190000
3/12/1977,,,480190000
3/13/1977,,,480190000
3/14/1977,,,480190000
3/15/1977,,,480190000
3/16/1977,,,480190000
3/17/1977,,,480190000
3/18/1977,,,480190000
3/19/1977,,,480190000
3/20/1977,,,480190000
3/21/1977,,,480190000
3/22/1977,,,480190000
3/23/1977,,,480190000
3/24/1977,,,480190000
3/25/1977,,,480190000
3/26/1977,,,480190000
3/27/1977,,,480190000
3/28/1977,,,480190000
3/29/1977,,,480190000
3/30/1977,,,480190000
3/31/1977,,,480190000
4/1/1977,,2350000,470330000
4/2/1977,,2350000,470330000
4/3/1977,,2350000,470330000
4/4/1977,,2350000,470330000
4/5/1977,,2350000,470330000
4/6/1977,,2350000,470330000
4/7/1977,,2350000,470330000
4/8/1977,,2350000,470330000
4/9/1977,,2350000,470330000
4/10/1977,,2350000,470330000
4/11/1977,,2350000,470330000
4/12/1977,,2350000,470330000
4/13/1977,,2350000,470330000
4/14/1977,,2350000,470330000
4/15/1977,,2350000,470330000
4/16/1977,,2350000,470330000
4/17/1977,,2350000,470330000
4/18/1977,,2350000,470330000
4/19/1977,,2350000,470330000
4/20/1977,,2350000,470330000
4/21/1977,,2350000,470330000
4/22/1977,,2350000,470330000
4/23/1977,,2350000,470330000
4/24/1977,,2350000,470330000
4/25/1977,,2350000,470330000
4/26/1977,,2350000,470330000
4/27/1977,,2350000,470330000
4/28/1977,,2350000,470330000
4/29/1977,,2350000,470330000
4/30/1977,,2350000,470330000
5/1/1977,64247.92001,3219354.839,495530000
5/2/1977,64247.92001,3219354.839,495530000
5/3/1977,64247.92001,3219354.839,495530000
5/4/1977,64247.92001,3219354.839,495530000
5/5/1977,64247.92001,3219354.839,495530000
5/6/1977,64247.92001,3219354.839,495530000
5/7/1977,64247.92001,3219354.839,495530000
5/8/1977,64247.92001,3219354.839,495530000
5/9/1977,64247.92001,3219354.839,495530000
5/10/1977,64247.92001,3219354.839,495530000
5/11/1977,64247.92001,3219354.839,495530000
5/12/1977,64247.92001,3219354.839,495530000
