Date,Capacidad Útil Volumen m3,Volumen Máximo Técnico Energía kWh,Capacidad Útil Energía kWh,Volumen Útil Diario m3,Volumen Útil Diario Energía kWh,Vertimientos Volumen m3,Vertimientos Energía kWh
1/1/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/2/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/3/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/4/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/5/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/6/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/7/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,8361290.323,715680
1/8/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,2787096.774,238560
1/9/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,5574193.548,477120
1/10/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/11/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/12/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/13/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/14/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/15/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/16/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/17/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,16722580.65,1431360
1/18/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/19/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/20/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/21/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/22/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/23/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/24/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/25/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/26/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/27/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/28/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/29/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/30/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
1/31/2000,29012258.06,2483278118,2483278118,20284580.65,1736240424,99999,99999
2/1/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/2/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/3/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/4/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/5/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/6/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/7/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/8/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/9/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/10/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/11/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/12/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/13/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/14/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/15/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/16/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/17/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/18/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/19/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/20/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/21/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/22/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/23/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/24/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/25/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/26/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/27/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/28/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
2/29/2000,32120714.29,2483278118,2483278118,19879928.57,1536933182,99999,99999
3/1/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/2/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/3/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/4/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/5/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/6/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/7/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/8/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/9/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/10/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/11/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/12/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/13/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/14/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/15/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/16/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/17/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/18/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/19/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/20/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/21/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/22/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/23/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/24/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/25/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/26/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/27/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/28/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/29/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/30/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
3/31/2000,29012258.06,2483278118,2483278118,15992580.65,1368870547,99999,99999
4/1/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/2/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/3/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/4/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/5/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/6/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/7/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/8/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/9/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/10/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/11/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/12/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/13/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/14/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/15/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/16/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/17/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/18/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/19/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/20/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/21/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/22/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/23/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
4/24/2000,29979333.33,2483278118,2483278118,14835400,1228860688,99999,99999
