Basin,Crop/Livestock,Slope (km2/head),Intercept (km2/head),R2,Year-2022 (Est),Year-2022 (Obs)
Casanare,Birds,21066.257,-42380239.29,0.861280168,215732.162,215458.2824
Casanare,Cacao,3.545,-7042.967,0.913400714,125.534,122.7477803
Casanare,Cattle,81053.839,-162543747,0.853790273,1347116.427,1271062.41
Casanare,OilPalm,-0.109,221.277,0.37025271,-0.065,6.01E-05
Casanare,Pigs,765.921,-1510954.899,0.036654284,37736.95,46491.62329
Casanare,Rice,14.828,-29740.658,0.891786982,240.752,248.0462585
Cumaral,Birds,-285.523,580685.983,0.045759254,3358.876,1383.629663
Cumaral,Cacao,0.007,-12.969,0.911128856,0.195,0.18398332
Cumaral,Cattle,623.793,-1226548.003,0.68422644,34762.053,34723.09692
Cumaral,OilPalm,0.411,-797.704,0.053499286,33.137,32.66642623
Cumaral,Pigs,245.114,-493553.898,0.371729419,2067.45,2850.05182
Cumaral,Rice,-0.089,180.688,0.083657027,1.687,2.063241519
Guanapalo,Birds,3462.606,-6978925.09,0.809812066,22463.908,18949.42831
Guanapalo,Cacao,0.049,-98.82,0.1342079,1.249,0.948136652
Guanapalo,Cattle,4331.002,-8486203.742,0.764842677,271082.326,277423.1945
Guanapalo,OilPalm,8.243,-16509.887,0.595968117,157.253,142.8996052
Guanapalo,Pigs,965.934,-1942869.208,0.359709009,10248.775,10937.86097
Guanapalo,Rice,19.324,-38682.892,0.892054443,390.701,393.6926272
Dir_btw_Ca_Or,Birds,1353.383,-2727699.565,0.906480332,8839.91,8916.655725
Dir_btw_Ca_Or,Cacao,0.006,-12.078,0.402252331,0.117,0.158548671
Dir_btw_Ca_Or,Cattle,3289.222,-6608433.033,0.762661607,42373.162,34835.90398
Dir_btw_Ca_Or,OilPalm,1.03,-2069.797,0.703419723,12.12,11.70390429
Dir_btw_Ca_Or,Pigs,-311.734,630443.234,0.311599153,116.462,985.5628584
Dir_btw_Ca_Or,Rice,0.057,-115.342,0.761985105,0.715,0.991197036
Dir_btw_Gb_Yu,Birds,226.838,-457071.729,0.367896483,1595.506,2581.174941
Dir_btw_Gb_Yu,Cacao,0.043,-86.487,0.705666937,0.631,0.983890472
Dir_btw_Gb_Yu,Cattle,5452.531,-10954141.46,0.722052838,70876.851,58593.68031
Dir_btw_Gb_Yu,OilPalm,0.555,-1104.978,0.634790596,17.14,22.05057764
Dir_btw_Gb_Yu,Pigs,11643.241,-23454979.43,0.420459601,87653.988,151540.2811
Dir_btw_Gb_Yu,Rice,0.014,8.803,4.61E-05,36.677,43.58878417
Dir_btw_Cu_CS,Birds,821.246,-1655115.294,0.834622631,5443.31,4784.595336
Dir_btw_Cu_CS,Cacao,0.021,-41.925,0.844908889,0.376,0.315579876
Dir_btw_Cu_CS,Cattle,1188.111,-2339490.152,0.892216647,62870.829,64206.44806
Dir_btw_Cu_CS,OilPalm,4.105,-8216.872,0.537681689,83.523,73.34858242
Dir_btw_Cu_CS,Pigs,269.556,-542382.196,0.512361167,2660.407,2716.548268
Dir_btw_Cu_CS,Rice,3.978,-7980.872,0.740059078,62.369,57.23936035
Dir_btw_Cu_Ca,Birds,369.973,-745125.728,0.688582292,2958.856,3354.702986
Dir_btw_Cu_Ca,Cacao,0.112,-224.976,0.31471877,1.555,0.641375545
Dir_btw_Cu_Ca,Cattle,2763.181,-5550648.352,0.76289054,36504.615,30484.75063
Dir_btw_Cu_Ca,OilPalm,2.007,-4024.105,0.930167882,33.324,28.40276316
Dir_btw_Cu_Ca,Pigs,-201.623,410303.615,0.028240324,2621.441,8088.827592
Dir_btw_Cu_Ca,Rice,0.385,-772.807,0.595148388,5.713,5.353022658
