Basin,Community,Year,Population
Cumaral,Urban,2020,0
Cumaral,Urban,2021,0
Cumaral,Urban,2022,0
Cumaral,Urban,2023,0
Cumaral,Urban,2024,0
Cumaral,Urban,2025,0
Cumaral,Urban,2026,0
Cumaral,Urban,2027,0
Cumaral,Urban,2028,0
Cumaral,Urban,2029,0
Cumaral,Urban,2030,0
Cumaral,Urban,2031,0
Cumaral,Urban,2032,0
Cumaral,Urban,2033,0
Cumaral,Urban,2034,0
Cumaral,Urban,2035,0
Cumaral,Urban,2036,0
Cumaral,Urban,2037,0
Cumaral,Urban,2038,0
Cumaral,Urban,2039,0
Cumaral,Urban,2040,0
Cumaral,Urban,2041,0
Cumaral,Urban,2042,0
Cumaral,Urban,2043,0
Cumaral,Urban,2044,0
Cumaral,Urban,2045,0
Cumaral,Urban,2046,0
Cumaral,Urban,2047,0
Cumaral,Urban,2048,0
Cumaral,Urban,2049,0
Cumaral,Urban,2050,0
Cumaral,Rural,2020,1462
Cumaral,Rural,2021,1486
Cumaral,Rural,2022,1510
Cumaral,Rural,2023,1535
Cumaral,Rural,2024,1559
Cumaral,Rural,2025,1583
Cumaral,Rural,2026,1607
Cumaral,Rural,2027,1631
Cumaral,Rural,2028,1655
Cumaral,Rural,2029,1679
Cumaral,Rural,2030,1704
Cumaral,Rural,2031,1728
Cumaral,Rural,2032,1752
Cumaral,Rural,2033,1776
Cumaral,Rural,2034,1800
Cumaral,Rural,2035,1824
Cumaral,Rural,2036,1848
Cumaral,Rural,2037,1872
Cumaral,Rural,2038,1897
Cumaral,Rural,2039,1921
Cumaral,Rural,2040,1945
Cumaral,Rural,2041,1969
Cumaral,Rural,2042,1993
Cumaral,Rural,2043,2017
Cumaral,Rural,2044,2041
Cumaral,Rural,2045,2065
Cumaral,Rural,2046,2090
Cumaral,Rural,2047,2114
Cumaral,Rural,2048,2138
Cumaral,Rural,2049,2162
Cumaral,Rural,2050,2186
Guanapalo,Urban,2020,6022
Guanapalo,Urban,2021,6156
Guanapalo,Urban,2022,6289
Guanapalo,Urban,2023,6423
Guanapalo,Urban,2024,6557
Guanapalo,Urban,2025,6691
Guanapalo,Urban,2026,6825
Guanapalo,Urban,2027,6959
Guanapalo,Urban,2028,7093
Guanapalo,Urban,2029,7227
Guanapalo,Urban,2030,7361
Guanapalo,Urban,2031,7495
Guanapalo,Urban,2032,7629
Guanapalo,Urban,2033,7763
Guanapalo,Urban,2034,7896
Guanapalo,Urban,2035,8030
Guanapalo,Urban,2036,8164
Guanapalo,Urban,2037,8298
Guanapalo,Urban,2038,8432
Guanapalo,Urban,2039,8566
Guanapalo,Urban,2040,8700
Guanapalo,Urban,2041,8834
Guanapalo,Urban,2042,8968
Guanapalo,Urban,2043,9102
Guanapalo,Urban,2044,9236
Guanapalo,Urban,2045,9370
Guanapalo,Urban,2046,9503
Guanapalo,Urban,2047,9637
Guanapalo,Urban,2048,9771
Guanapalo,Urban,2049,9905
Guanapalo,Urban,2050,10039
Guanapalo,Rural,2020,13343
Guanapalo,Rural,2021,13453
Guanapalo,Rural,2022,13563
Guanapalo,Rural,2023,13674
Guanapalo,Rural,2024,13784
Guanapalo,Rural,2025,13894
Guanapalo,Rural,2026,14004
Guanapalo,Rural,2027,14114
Guanapalo,Rural,2028,14225
Guanapalo,Rural,2029,14335
Guanapalo,Rural,2030,14445
Guanapalo,Rural,2031,14555
Guanapalo,Rural,2032,14665
Guanapalo,Rural,2033,14775
Guanapalo,Rural,2034,14886
Guanapalo,Rural,2035,14996
Guanapalo,Rural,2036,15106
Guanapalo,Rural,2037,15216
Guanapalo,Rural,2038,15326
Guanapalo,Rural,2039,15436
Guanapalo,Rural,2040,15547
Guanapalo,Rural,2041,15657
Guanapalo,Rural,2042,15767
Guanapalo,Rural,2043,15877
Guanapalo,Rural,2044,15987
Guanapalo,Rural,2045,16098
Guanapalo,Rural,2046,16208
Guanapalo,Rural,2047,16318
Guanapalo,Rural,2048,16428
Guanapalo,Rural,2049,16538
Guanapalo,Rural,2050,16648
Casanare,Urban,2020,72498
Casanare,Urban,2021,73444
Casanare,Urban,2022,74390
Casanare,Urban,2023,75335
Casanare,Urban,2024,76281
Casanare,Urban,2025,77226
Casanare,Urban,2026,78172
Casanare,Urban,2027,79117
Casanare,Urban,2028,80063
Casanare,Urban,2029,81009
Casanare,Urban,2030,81954
Casanare,Urban,2031,82900
Casanare,Urban,2032,83845
Casanare,Urban,2033,84791
Casanare,Urban,2034,85736
Casanare,Urban,2035,86682
Casanare,Urban,2036,87627
Casanare,Urban,2037,88573
Casanare,Urban,2038,89519
Casanare,Urban,2039,90464
Casanare,Urban,2040,91410
Casanare,Urban,2041,92355
Casanare,Urban,2042,93301
Casanare,Urban,2043,94246
Casanare,Urban,2044,95192
Casanare,Urban,2045,96137
Casanare,Urban,2046,97083
Casanare,Urban,2047,98029
Casanare,Urban,2048,98974
Casanare,Urban,2049,99920
Casanare,Urban,2050,100865
Casanare,Rural,2020,79817
Casanare,Rural,2021,80745
Casanare,Rural,2022,81674
Casanare,Rural,2023,82603
Casanare,Rural,2024,83532
Casanare,Rural,2025,84461
Casanare,Rural,2026,85390
Casanare,Rural,2027,86319
Casanare,Rural,2028,87248
Casanare,Rural,2029,88177
Casanare,Rural,2030,89106
Casanare,Rural,2031,90034
Casanare,Rural,2032,90963
Casanare,Rural,2033,91892
Casanare,Rural,2034,92821
Casanare,Rural,2035,93750
Casanare,Rural,2036,94679
Casanare,Rural,2037,95608
Casanare,Rural,2038,96537
Casanare,Rural,2039,97466
Casanare,Rural,2040,98395
Casanare,Rural,2041,99323
Casanare,Rural,2042,100252
Casanare,Rural,2043,101181
Casanare,Rural,2044,102110
Casanare,Rural,2045,103039
Casanare,Rural,2046,103968
Casanare,Rural,2047,104897
Casanare,Rural,2048,105826
Casanare,Rural,2049,106755
Casanare,Rural,2050,107684
Dir_btw_Cu_CS,Urban,2020,0
Dir_btw_Cu_CS,Urban,2021,0
Dir_btw_Cu_CS,Urban,2022,0
Dir_btw_Cu_CS,Urban,2023,0
Dir_btw_Cu_CS,Urban,2024,0
Dir_btw_Cu_CS,Urban,2025,0
Dir_btw_Cu_CS,Urban,2026,0
Dir_btw_Cu_CS,Urban,2027,0
Dir_btw_Cu_CS,Urban,2028,0
Dir_btw_Cu_CS,Urban,2029,0
Dir_btw_Cu_CS,Urban,2030,0
Dir_btw_Cu_CS,Urban,2031,0
Dir_btw_Cu_CS,Urban,2032,0
Dir_btw_Cu_CS,Urban,2033,0
Dir_btw_Cu_CS,Urban,2034,0
Dir_btw_Cu_CS,Urban,2035,0
Dir_btw_Cu_CS,Urban,2036,0
Dir_btw_Cu_CS,Urban,2037,0
Dir_btw_Cu_CS,Urban,2038,0
Dir_btw_Cu_CS,Urban,2039,0
Dir_btw_Cu_CS,Urban,2040,0
Dir_btw_Cu_CS,Urban,2041,0
Dir_btw_Cu_CS,Urban,2042,0
Dir_btw_Cu_CS,Urban,2043,0
Dir_btw_Cu_CS,Urban,2044,0
Dir_btw_Cu_CS,Urban,2045,0
Dir_btw_Cu_CS,Urban,2046,0
Dir_btw_Cu_CS,Urban,2047,0
Dir_btw_Cu_CS,Urban,2048,0
Dir_btw_Cu_CS,Urban,2049,0
Dir_btw_Cu_CS,Urban,2050,0
Dir_btw_Cu_CS,Rural,2020,4580
Dir_btw_Cu_CS,Rural,2021,4602
Dir_btw_Cu_CS,Rural,2022,4625
Dir_btw_Cu_CS,Rural,2023,4648
Dir_btw_Cu_CS,Rural,2024,4670
Dir_btw_Cu_CS,Rural,2025,4693
Dir_btw_Cu_CS,Rural,2026,4715
Dir_btw_Cu_CS,Rural,2027,4738
Dir_btw_Cu_CS,Rural,2028,4760
Dir_btw_Cu_CS,Rural,2029,4783
Dir_btw_Cu_CS,Rural,2030,4805
Dir_btw_Cu_CS,Rural,2031,4828
Dir_btw_Cu_CS,Rural,2032,4851
Dir_btw_Cu_CS,Rural,2033,4873
Dir_btw_Cu_CS,Rural,2034,4896
Dir_btw_Cu_CS,Rural,2035,4918
Dir_btw_Cu_CS,Rural,2036,4941
Dir_btw_Cu_CS,Rural,2037,4963
Dir_btw_Cu_CS,Rural,2038,4986
Dir_btw_Cu_CS,Rural,2039,5008
Dir_btw_Cu_CS,Rural,2040,5031
Dir_btw_Cu_CS,Rural,2041,5054
Dir_btw_Cu_CS,Rural,2042,5076
Dir_btw_Cu_CS,Rural,2043,5099
Dir_btw_Cu_CS,Rural,2044,5121
Dir_btw_Cu_CS,Rural,2045,5144
Dir_btw_Cu_CS,Rural,2046,5166
Dir_btw_Cu_CS,Rural,2047,5189
Dir_btw_Cu_CS,Rural,2048,5211
Dir_btw_Cu_CS,Rural,2049,5234
Dir_btw_Cu_CS,Rural,2050,5257
Dir_btw_Cu_Ca,Urban,2020,9392
Dir_btw_Cu_Ca,Urban,2021,9483
Dir_btw_Cu_Ca,Urban,2022,9575
Dir_btw_Cu_Ca,Urban,2023,9666
Dir_btw_Cu_Ca,Urban,2024,9757
Dir_btw_Cu_Ca,Urban,2025,9848
Dir_btw_Cu_Ca,Urban,2026,9939
Dir_btw_Cu_Ca,Urban,2027,10031
Dir_btw_Cu_Ca,Urban,2028,10122
Dir_btw_Cu_Ca,Urban,2029,10213
Dir_btw_Cu_Ca,Urban,2030,10304
Dir_btw_Cu_Ca,Urban,2031,10396
Dir_btw_Cu_Ca,Urban,2032,10487
Dir_btw_Cu_Ca,Urban,2033,10578
Dir_btw_Cu_Ca,Urban,2034,10669
Dir_btw_Cu_Ca,Urban,2035,10760
Dir_btw_Cu_Ca,Urban,2036,10852
Dir_btw_Cu_Ca,Urban,2037,10943
Dir_btw_Cu_Ca,Urban,2038,11034
Dir_btw_Cu_Ca,Urban,2039,11125
Dir_btw_Cu_Ca,Urban,2040,11216
Dir_btw_Cu_Ca,Urban,2041,11308
Dir_btw_Cu_Ca,Urban,2042,11399
Dir_btw_Cu_Ca,Urban,2043,11490
Dir_btw_Cu_Ca,Urban,2044,11581
Dir_btw_Cu_Ca,Urban,2045,11673
Dir_btw_Cu_Ca,Urban,2046,11764
Dir_btw_Cu_Ca,Urban,2047,11855
Dir_btw_Cu_Ca,Urban,2048,11946
Dir_btw_Cu_Ca,Urban,2049,12037
Dir_btw_Cu_Ca,Urban,2050,12129
Dir_btw_Cu_Ca,Rural,2020,1885
Dir_btw_Cu_Ca,Rural,2021,1919
Dir_btw_Cu_Ca,Rural,2022,1953
Dir_btw_Cu_Ca,Rural,2023,1987
Dir_btw_Cu_Ca,Rural,2024,2021
Dir_btw_Cu_Ca,Rural,2025,2055
Dir_btw_Cu_Ca,Rural,2026,2089
Dir_btw_Cu_Ca,Rural,2027,2123
Dir_btw_Cu_Ca,Rural,2028,2157
Dir_btw_Cu_Ca,Rural,2029,2191
Dir_btw_Cu_Ca,Rural,2030,2225
Dir_btw_Cu_Ca,Rural,2031,2258
Dir_btw_Cu_Ca,Rural,2032,2292
Dir_btw_Cu_Ca,Rural,2033,2326
Dir_btw_Cu_Ca,Rural,2034,2360
Dir_btw_Cu_Ca,Rural,2035,2394
Dir_btw_Cu_Ca,Rural,2036,2428
Dir_btw_Cu_Ca,Rural,2037,2462
