Basin,Rice_Pdate=04-01_planted,Rice_Pdate=08-15_planted,Rice_PDate=04-01_irrigated,Rice_PDate=08-15_irrigated,Rice_PDate=04-01_IrrEff_%,Rice_PDate=08-15_IrrEff_%,OilPalm_irrigated,OilPalm_IrrEff_%
Garagoa,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Dir_btw_Cu_CS,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Cusiana,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Yucao,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Guatiquia,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Humea,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Guacavia,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Guavio,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Metica,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Guayuriba,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Dir_btw_Gb_Yu,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Dir_btw_Ca_Or,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Dir_btw_Hu_Up,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Melua,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Cumaral,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Manacacias,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Dir_btw_P_Ca,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Negro,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Lago de Tota,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Pauto,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Dir_btw_Cu_Ca,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Guanapalo,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Lengupa,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Upia,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Tua,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Cravo Sur,0.85,0.15,0,1,0.36,0.36,0.3,0.36
Casanare,0.85,0.15,0,1,0.36,0.36,0.3,0.36
