Basin,Dfwu,Dirr,Dliv,Dfwr,Denv,Shreve Stream Order
Garagoa,-140,-135,-130,-125,0,1
Dir_btw_Ca_Or,-20,-15,-10,-5,0,4
Pauto,-140,-135,-130,-125,0,1
Dir_btw_Cu_Ca,-45,-40,-35,-30,0,3
Guanapalo,-140,-135,-130,-125,0,1
Lengupa,-140,-135,-130,-125,0,1
Upia,-90,-85,-80,-75,0,2
Lago_de_tota,-140,-135,-130,-125,0,1
Tua,-140,-135,-130,-125,0,1
Cravo Sur,-140,-135,-130,-125,0,1
Dir_btw_Cu_CS,-140,-135,-130,-125,0,1
Cusiana,-140,-135,-130,-125,0,1
Yucao,-140,-135,-130,-125,0,1
Guatiquia,-140,-135,-130,-125,0,1
Humea,-140,-135,-130,-125,0,1
Guacavia,-140,-135,-130,-125,0,1
Guavio,-140,-135,-130,-125,0,1
Metica,-140,-135,-130,-125,0,1
Guayuriba,-140,-135,-130,-125,0,1
Dir_btw_Gb_Yu,-65,-60,-55,-50,0,2
Dir_btw_Hu_Up,-140,-135,-130,-125,0,1
Melua,-140,-135,-130,-125,0,1
Cumaral,-140,-135,-130,-125,0,1
Manacacias,-115,-110,-105,-100,0,2
Dir_btw_P_Ca,-140,-135,-130,-125,0,1
Negro,-140,-135,-130,-125,0,1
Casanare,-140,-135,-130,-125,0,1
Dir_btw_Gudam_Up,0,0,0,0,0,1
