Catchment,Qenv_monthly_m3,Qenv_daily_m3,Qenv_monthly_Mm3,Qenv_daily_Mm3
Garagoa,8446696.753,276940.9,8.446696753,0.276940877
Dir_btw_Ca_Or,64070403.22,2100669.0,64.07040322,2.100668958
Pauto,66866278.52,2192337.0,66.86627852,2.192337001
Dir_btw_Cu_Ca,38097491.8,1249098.1,38.0974918,1.249098092
Guanapalo,54689407.81,1793095.3,54.68940781,1.793095338
Lengupa,31828611.96,1043561.0,31.82861196,1.043561048
Upia,15099599.09,495068.8,15.09959909,0.495068823
Tua,68674027.47,2251607.5,68.67402747,2.251607458
Cravo Sur,27803440.52,911588.2,27.80344052,0.911588214
Dir_btw_Cu_CS,18278344.11,599290.0,18.27834411,0.599289971
Cusiana,49869836.33,1635076.6,49.86983633,1.635076601
Yucao,21487948.92,704522.9,21.48794892,0.704522915
Guatiquia,46646247.89,1529385.2,46.64624789,1.529385177
Humea,44331670.81,1453497.4,44.33167081,1.453497404
Guacavia,25823198.92,846662.3,25.82319892,0.84666226
Guavio,9686184.63,317579.8,9.68618463,0.317579824
Metica,62907578.6,2062543.6,62.9075786,2.062543561
Guayuriba,27795641.22,911332.5,27.79564122,0.911332499
Dir_btw_Gb_Yu,19715216.64,646400.5,19.71521664,0.646400546
Dir_btw_Hu_Up,14177198.16,464826.2,14.17719816,0.464826169
Melua,10457336.97,342863.5,10.45733697,0.342863507
Cumaral,6199413.965,203259.5,6.199413965,0.203259474
Manacacias,62963655,2064382.1,62.963655,2.064382131
Dir_btw_P_Ca,39057067.56,1280559.6,39.05706756,1.280559592
Negro,17887923.87,586489.3,17.88792387,0.586489307
Lago de Tota,4289002.407,140623.0,4.289002407,0.14062303
Casanare,184043622.9,6034217.1,184.0436229,6.034217145
